Run,Step,InCave,InMarket,InTown,Update,CurrentState
35,14,1,0,0,toCave,2
36,0,0,0,0,toMarket,0
36,1,0,0,0,toMarket,0
36,2,0,1,1,toMarket,1
36,3,0,1,1,toMarket,5
36,4,0,0,0,toCave,6
36,5,0,0,0,toCave,2
36,6,1,0,0,toCave,2
36,7,1,0,0,toCave,2
36,8,0,0,0,toCave,2
36,9,1,0,0,toCave,2
36,10,1,0,0,toCave,2
36,11,1,0,0,toCave,2
36,12,1,0,0,toCave,2
36,13,1,0,0,toCave,2
36,14,1,0,0,toCave,2
37,0,0,0,0,toMarket,0
37,1,0,0,0,toMarket,0
37,2,0,1,1,toMarket,1
37,3,0,1,1,toMarket,5
37,4,1,0,0,toCave,6
37,5,1,0,0,toCave,7
37,6,1,0,0,toCave,2
37,7,0,0,0,toCave,2
37,8,1,0,0,toCave,2
37,9,1,0,0,toCave,2
37,10,1,0,0,toCave,2
37,11,1,0,0,toCave,2
37,12,1,0,0,toCave,2
37,13,1,0,0,toCave,2
37,14,1,0,0,toCave,2
38,0,0,0,0,toMarket,0
38,1,0,0,0,toMarket,0
38,2,0,0,0,toMarket,1
38,3,0,0,0,toTown,3
38,4,0,0,0,toMarket,3
38,5,0,0,1,toMarket,3
38,6,0,0,1,toMarket,8
38,7,0,0,0,toMarket,8
38,8,0,1,1,toMarket,8
38,9,0,1,1,toMarket,5
38,10,1,0,0,toCave,6
38,11,1,0,0,toCave,7
38,12,0,0,0,toCave,2
38,13,0,0,0,toCave,2
38,14,0,0,0,toCave,2
39,0,0,0,0,toMarket,0
39,1,0,0,0,toMarket,0
39,2,0,1,1,toMarket,1
39,3,0,0,0,toMarket,5
39,4,1,0,0,toCave,6
39,5,0,0,0,toCave,7
39,6,0,1,1,toTown,7
39,7,0,1,1,toTown,5
39,8,1,1,1,toCave,6
39,9,1,0,0,toCave,7
39,10,1,0,0,toCave,2
39,11,1,0,0,toCave,2
39,12,1,0,0,toCave,2
39,13,1,0,0,toCave,2
39,14,1,0,0,toCave,2
40,0,0,0,0,toMarket,0
40,1,0,0,0,toMarket,0
40,2,0,1,1,toMarket,1
40,3,0,1,1,toMarket,5
40,4,1,1,0,toCave,6
40,5,1,0,0,toCave,7
40,6,1,0,0,toCave,2
40,7,1,0,0,toCave,2
40,8,1,0,0,toCave,2
40,9,1,0,0,toCave,2
40,10,1,0,0,toCave,2
40,11,1,0,0,toCave,2
40,12,1,0,0,toCave,2
40,13,0,0,0,toCave,2
40,14,0,0,0,toCave,2
41,0,0,0,0,toMarket,0
41,1,0,0,0,toMarket,0
