Run,Step,InCave,InTown,InCave,InForest,Update,CurrentState,SafeChoice,SafeCount
39,9,1,0,0,0,toTown,2,0,0
39,10,1,0,0,0,toTown,2,0,0
40,0,0,0,0,1,toForest,1,0,0
40,1,0,0,0,1,toTown,3,0,0
40,2,0,1,1,0,toMarket,3,0,0
40,3,0,1,1,0,toTown,5,0,0
40,4,1,1,1,0,toCave,6,0,0
40,5,1,0,1,0,toTown,5,0,0
40,6,1,1,1,0,toTown,2,0,0
40,7,1,1,1,0,toTown,2,0,0
40,8,1,1,1,0,toTown,2,0,0
40,9,1,1,1,0,toTown,2,0,0
40,10,1,1,1,0,toTown,2,0,0
40,11,1,1,1,0,toTown,2,0,0
40,12,1,1,1,0,toTown,2,0,0
41,0,0,0,0,1,toForest,1,0,0
41,1,0,0,0,1,toTown,3,0,0
41,2,0,1,1,1,toMarket,3,0,0
41,3,0,1,1,0,toTown,5,0,0
41,4,1,0,0,1,toCave,6,0,0
41,5,1,1,1,1,toTown,7,0,0
41,6,1,0,0,0,toTown,2,0,0
41,7,1,0,0,0,toTown,2,0,0
41,8,1,0,0,0,toTown,2,0,0
41,9,1,0,0,0,toTown,2,0,0
41,10,1,0,0,0,toTown,2,0,0
42,0,0,0,0,1,toForest,1,0,0
42,1,0,0,1,1,toTown,3,0,0
42,2,0,0,0,1,toTown,8,0,0
42,3,0,1,1,0,toMarket,8,0,0
42,4,0,0,0,0,toTown,5,0,0
42,5,1,0,0,0,toCave,6,0,0
42,6,1,0,0,1,toTown,7,0,0
42,7,1,1,1,0,toTown,2,0,0
42,8,1,0,1,0,toTown,2,0,0
42,9,1,0,0,0,toTown,2,0,0
42,10,1,0,0,0,toTown,2,0,0
42,11,1,0,0,0,toTown,2,0,0
42,12,1,0,1,0,toTown,2,0,0
43,0,0,0,0,1,toForest,1,0,0
43,1,0,0,1,0,toTown,3,0,0
43,2,0,1,1,0,toTown,8,0,0
43,3,0,1,1,0,toTown,5,0,0
43,4,1,0,0,0,toCave,6,0,0
43,5,1,0,0,0,toTown,7,0,0
43,6,1,0,0,0,toTown,2,0,0
43,7,1,0,0,0,toTown,2,0,0
43,8,1,0,1,0,toTown,2,0,0
43,9,1,0,0,0,toTown,2,0,0
44,0,0,0,0,1,toForest,1,0,0
44,1,0,0,0,1,toTown,3,0,0
44,2,0,0,0,1,toMarket,3,0,0
44,3,0,1,1,0,toMarket,3,0,0
44,4,0,1,1,0,toTown,5,0,0
44,5,1,1,1,0,toCave,6,0,0
44,6,1,0,0,0,toTown,5,0,0
44,7,1,0,0,0,toTown,2,0,0
44,8,1,0,0,0,toTown,2,0,0
44,9,1,0,1,0,toTown,2,0,0
44,10,1,0,1,0,toTown,2,0,0
44,11,1,0,0,0,toTown,2,0,0
44,12,1,0,1,0,toTown,2,0,0
44,13,1,0,0,0,toTown,2,0,0
44,14,1,0,0,0,toTown,2,0,0
45,0,0,0,0,1,toForest,1,0,0
45,1,0,1,1,1,toTown,3,0,0
45,2,0,0,1,0,toTown,5,0,0
45,3,1,0,1,0,toCave,6,0,0
45,4,1,1,1,0,toTown,8,0,0
45,5,1,0,0,0,toTown,2,0,0
45,6,1,0,1,0,toTown,2,0,0
45,7,1,0,1,1,toTown,2,0,0
45,8,1,0,0,1,toTown,2,0,0
45,9,1,0,0,1,toTown,2,0,0
45,10,1,0,0,1,toTown,2,0,0
46,0,0,0,0,1,toForest,1,0,0
46,1,0,0,0,1,toTown,3,0,0
46,2,0,0,0,1,toMarket,3,0,0
46,3,0,0,0,0,toMarket,3,0,0
46,4,0,0,0,0,toMarket,3,0,0
46,5,0,0,0,1,toMarket,3,0,0
46,6,0,0,0,1,toMarket,3,0,0
46,7,0,0,0,1,toMarket,3,0,0
46,8,0,1,1,1,toMarket,3,0,0
46,9,0,1,1,0,toTown,5,0,0
46,10,1,0,0,1,toCave,6,0,0
46,11,1,0,0,0,toTown,7,0,0
46,12,1,0,0,0,toTown,2,0,0
46,13,1,0,0,1,toTown,2,0,0
46,14,1,0,1,0,toTown,2,0,0
47,0,0,0,0,1,toForest,1,0,0
47,1,0,0,0,1,toTown,3,0,0
47,2,0,0,0,1,toMarket,3,0,0
47,3,0,1,1,1,toMarket,3,0,0
47,4,0,1,1,0,toTown,5,0,0
47,5,1,1,1,0,toCave,6,0,0
47,6,1,0,1,0,toTown,5,0,0
47,7,1,0,1,0,toTown,2,0,0
47,8,1,0,1,0,toTown,2,0,0
47,9,1,0,0,0,toTown,2,0,0
47,10,1,0,1,0,toTown,2,0,0
47,11,1,0,1,0,toTown,2,0,0
47,12,1,0,0,0,toTown,2,0,0
47,13,1,0,1,1,toTown,2,0,0
47,14,1,0,0,1,toTown,2,0,0
48,0,0,0,0,1,toForest,1,0,0
48,1,0,0,0,1,toTown,3,0,0
48,2,0,1,1,1,toMarket,3,0,0
48,3,0,1,1,0,toTown,5,0,0
48,4,1,0,0,1,toCave,6,0,0
48,5,1,0,0,0,toTown,7,0,0
48,6,1,0,0,0,toTown,2,0,0
49,0,0,0,0,1,toForest,1,0,0
49,1,0,0,1,1,toTown,3,0,0
49,2,0,0,0,1,toTown,8,0,0
49,3,0,1,1,0,toMarket,8,0,0
49,4,0,1,1,0,toTown,5,0,0
49,5,1,0,0,1,toCave,6,0,0
49,6,1,0,0,0,toTown,7,0,0
49,7,1,0,1,0,toTown,2,0,0
49,8,1,0,1,0,toTown,2,0,0
49,9,1,0,0,0,toTown,2,0,0
49,10,1,0,0,0,toTown,2,0,0
49,11,1,0,0,0,toTown,2,0,0
49,12,1,0,0,0,toTown,2,0,0
49,13,1,0,1,1,toTown,2,0,0
49,14,1,1,1,0,toTown,2,0,0
50,0,0,0,0,1,toForest,1,0,0
50,1,0,0,0,1,toTown,3,0,0
50,2,0,1,1,0,toMarket,3,0,0
50,3,0,1,1,0,toTown,5,0,0
50,4,1,0,0,0,toCave,6,0,0
50,5,1,0,0,1,toTown,7,0,0
50,6,1,0,1,0,toTown,2,0,0
50,7,1,0,1,0,toTown,2,0,0
50,8,1,0,1,0,toTown,2,0,0
50,9,1,0,1,0,toTown,2,0,0
50,10,1,0,1,0,toTown,2,0,0
50,11,1,0,1,0,toTown,2,0,0
50,12,1,0,0,0,toTown,2,0,0
50,13,1,1,1,0,toTown,2,0,0
50,14,1,1,1,0,toTown,2,0,0
51,0,0,0,0,1,toForest,1,0,0
51,1,0,0,1,1,toTown,3,0,0
51,2,0,0,1,0,toTown,8,0,0
51,3,0,1,1,0,toMarket,8,0,0
51,4,0,1,1,0,toTown,5,0,0
51,5,1,0,0,0,toCave,6,0,0
51,6,1,0,0,0,toTown,7,0,0
51,7,1,0,0,0,toTown,2,0,0
51,8,1,1,1,1,toTown,2,0,0
51,9,1,1,1,0,toTown,2,0,0
52,0,0,0,0,1,toForest,1,0,0
52,1,0,0,1,1,toTown,3,0,0
52,2,0,0,0,1,toTown,8,0,0
52,3,0,1,0,1,toMarket,8,0,0
52,4,0,0,0,1,toMarket,5,0,0
52,5,1,0,0,1,toCave,6,0,0
52,6,1,0,0,0,toTown,7,0,0
52,7,1,0,0,0,toTown,2,0,0
52,8,1,0,0,0,toTown,2,0,0
52,9,1,0,1,0,toTown,2,0,0
52,10,1,0,0,0,toTown,2,0,0
52,11,1,0,0,0,toTown,2,0,0
52,12,1,0,0,0,toTown,2,0,0
52,13,1,0,0,0,toTown,2,0,0
52,14,1,0,1,1,toTown,2,0,0
53,0,0,0,0,1,toForest,1,0,0
53,1,0,0,1,1,toTown,3,0,0
53,2,0,0,1,0,toTown,8,0,0
53,3,0,0,0,0,toMarket,8,0,0
53,4,1,0,0,0,toMarket,8,0,0
53,5,1,0,1,1,toMarket,2,0,0
53,6,1,0,1,0,toMarket,2,0,0
53,7,1,1,0,0,toMarket,2,0,0
53,8,1,1,1,0,toMarket,2,0,0
53,9,1,1,1,0,toMarket,2,0,0
53,10,1,1,1,0,toMarket,2,0,0
53,11,1,1,1,0,toMarket,2,0,0
53,12,1,1,1,0,toMarket,2,0,0
53,13,1,1,1,0,toMarket,2,0,0
53,14,1,1,1,0,toMarket,2,0,0
54,0,0,0,0,1,toForest,1,0,0
54,1,0,0,1,1,toTown,3,0,0
54,2,0,0,0,1,toTown,8,0,0
