Run,Step,InCave,InMarket,InTown,Update,CurrentState,SafeChoice,SafeCount
39,4,0,0,0,toMarket,0,0,0
39,5,0,0,0,toMarket,0,0,0
39,6,0,0,0,toMarket,0,1,0
39,7,1,0,0,toMarket,0,1,1
39,8,0,1,1,toMarket,0,1,1
39,9,0,1,1,toMarket,0,0,1
39,10,1,0,0,toMarket,0,0,1
39,11,1,0,0,toMarket,0,0,1
39,12,1,0,0,toMarket,0,0,1
39,13,1,0,0,toMarket,0,0,1
39,14,1,0,0,toMarket,0,1,1
40,0,0,0,0,toMarket,0,0,0
40,1,0,0,0,toMarket,0,0,0
40,2,0,0,0,toMarket,0,0,0
40,3,0,0,0,toMarket,0,0,0
40,4,0,0,0,toMarket,0,0,0
40,5,0,0,1,toMarket,0,1,0
40,6,0,1,1,toMarket,0,1,1
40,7,0,1,1,toMarket,0,0,1
40,8,1,1,0,toMarket,0,1,1
40,9,0,0,0,toMarket,0,1,1
40,10,0,1,1,toMarket,0,0,1
40,11,1,0,1,toMarket,0,1,1
40,12,1,0,0,toMarket,0,0,2
40,13,1,0,0,toMarket,0,0,2
40,14,1,0,0,toMarket,0,1,2
41,0,0,0,0,toMarket,0,0,0
41,1,0,0,0,toMarket,0,0,0
41,2,0,0,0,toMarket,0,0,0
41,3,0,0,0,toMarket,0,1,0
41,4,0,0,1,toMarket,0,1,0
41,5,0,0,1,toMarket,0,1,1
41,6,0,1,1,toMarket,0,1,2
41,7,0,1,1,toMarket,0,0,3
41,8,0,1,1,toMarket,0,0,3
41,9,0,0,0,toMarket,0,0,3
41,10,1,0,0,toMarket,0,0,4
41,11,1,0,0,toMarket,0,1,4
41,12,1,0,0,toMarket,0,0,4
41,13,1,0,0,toMarket,0,0,4
41,14,1,0,0,toMarket,0,0,4
42,0,0,0,0,toMarket,0,0,0
42,1,0,0,0,toMarket,0,0,0
42,2,0,0,0,toMarket,0,1,0
42,3,0,1,1,toMarket,0,0,0
42,4,0,1,0,toMarket,0,0,0
42,5,0,0,0,toMarket,0,0,0
42,6,1,0,0,toMarket,0,0,0
42,7,1,0,0,toMarket,0,0,0
42,8,1,0,0,toMarket,0,1,1
42,9,1,0,0,toMarket,0,0,1
42,10,1,0,0,toMarket,0,0,1
42,11,1,0,0,toMarket,0,0,1
42,12,1,0,0,toMarket,0,0,1
42,13,1,0,0,toMarket,0,0,1
42,14,1,0,0,toMarket,0,1,1
43,0,0,0,0,toMarket,0,0,0
43,1,0,0,0,toMarket,0,0,0
43,2,0,0,0,toMarket,0,1,0
43,3,0,0,0,toMarket,0,0,0
43,4,0,0,0,toMarket,0,1,1
43,5,0,0,1,toMarket,0,0,2
43,6,0,0,1,toMarket,0,1,2
43,7,0,0,1,toMarket,0,0,3
43,8,0,0,1,toMarket,0,0,3
43,9,0,0,0,toMarket,0,0,3
43,10,1,0,0,toMarket,0,0,3
43,11,1,0,0,toMarket,0,0,3
43,12,1,0,0,toMarket,0,0,3
43,13,1,0,0,toMarket,0,0,3
43,14,0,0,0,toMarket,0,0,3
44,0,0,0,0,toMarket,0,0,0
44,1,0,0,0,toMarket,0,0,0
44,2,0,0,1,toMarket,0,0,0
44,3,0,1,1,toMarket,0,1,0
44,4,0,0,1,toMarket,0,0,1
44,5,0,0,0,toMarket,0,0,1
44,6,1,0,0,toMarket,0,0,1
44,7,1,0,0,toMarket,0,0,1
44,8,1,0,0,toMarket,0,1,1
44,9,1,0,0,toMarket,0,0,1
44,10,1,0,0,toMarket,0,0,1
44,11,0,0,0,toMarket,0,1,1
44,12,1,0,0,toMarket,0,1,2
